id,img_name,color_group,parent_color,strategy
lipstick__kylie_cosmetics__matte_liquid_lipstick__love_bite,lipstick__kylie_cosmetics__matte_liquid_lipstick__love_bite.jpg,berry_plum,plum brown,color_coverage
lipstick__urban_decay__vice_lipstick_comfort_matte__en_fuego,lipstick__urban_decay__vice_lipstick_comfort_matte__en_fuego.jpg,berry_plum,burgundy,color_coverage
lipstick__julep__its_balm_creme_full_coverage_lip_crayon__11_black_cherry,lipstick__julep__its_balm_creme_full_coverage_lip_crayon__11_black_cherry.jpg,berry_plum,burgundy,color_coverage
lipstick__julep__its_balm_creme_full_coverage_lip_crayon__20_sweet_sangria,lipstick__julep__its_balm_creme_full_coverage_lip_crayon__20_sweet_sangria.jpg,berry_plum,berry wine,color_coverage
lipstick__kaleidos__cloud_lab_lip_clay__de04_dahlia,lipstick__kaleidos__cloud_lab_lip_clay__de04_dahlia.png,berry_plum,maroon red,color_coverage
lipstick__mac_cosmetics__powder_kiss_velvet_blur_slim_stick__wild_sumac,lipstick__mac_cosmetics__powder_kiss_velvet_blur_slim_stick__wild_sumac.jpg,berry_plum,red berry,color_coverage
lipstick__nyx_professional_makeup__soft_matte_metallic_lip_cream__madrid,lipstick__nyx_professional_makeup__soft_matte_metallic_lip_cream__madrid.jpg,berry_plum,cranberry red,color_coverage
lipstick__nars__explicit_refillable_satin_lipstick__808_ravenous,lipstick__nars__explicit_refillable_satin_lipstick__808_ravenous.jpg,berry_plum,cherry brown,color_coverage
lipstick__milani__stay_put_liquid_lip_longwear_lipstick__150_snatchd,lipstick__milani__stay_put_liquid_lip_longwear_lipstick__150_snatchd.jpg,berry_plum,berry rose,color_coverage
lipstick__anastasia_beverly_hills__matte_lipstick__rage,lipstick__anastasia_beverly_hills__matte_lipstick__rage.jpg,berry_plum,grape,color_coverage
lipstick__nars__audacious_lipstick__leslie,lipstick__nars__audacious_lipstick__leslie.jpg,berry_plum,cherrywood,color_coverage
lipstick__maybelline__superstay_matte_ink_lip_color__pioneer,lipstick__maybelline__superstay_matte_ink_lip_color__pioneer.jpg,berry_plum,wine red,color_coverage
lipstick__dior__rouge_dior_refillable_lipstick__773_bonheur,lipstick__dior__rouge_dior_refillable_lipstick__773_bonheur.jpg,berry_plum,plum,color_coverage
lipstick__beauty_pie__futurelipstick_matte__heartthrob_pink,lipstick__beauty_pie__futurelipstick_matte__heartthrob_pink.jpg,berry_plum,raspberry pink,color_coverage
lipstick__hourglass__unlocked_soft_matte_lipstick__currant_362,lipstick__hourglass__unlocked_soft_matte_lipstick__currant_362.jpg,berry_plum,berry,color_coverage
lipstick__armani_beauty__rouge_darmani_matte_lipstick__600_attitude,lipstick__armani_beauty__rouge_darmani_matte_lipstick__600_attitude.jpg,berry_plum,plum,color_coverage
lipstick__dior__rouge_ultra_rouge_lipstick__783_ultra_me,lipstick__dior__rouge_ultra_rouge_lipstick__783_ultra_me.jpg,berry_plum,burgundy,color_coverage
lipstick__valentino__rosso_valentino_high_pigment_refillable_lipstick__212r_dangerous_crimson,lipstick__valentino__rosso_valentino_high_pigment_refillable_lipstick__212r_dangerous_crimson.jpg,berry_plum,red wine,color_coverage
lipstick__laura_mercier__petal_soft_lipstick_crayon__341_simone,lipstick__laura_mercier__petal_soft_lipstick_crayon__341_simone.jpg,berry_plum,rose berry,color_coverage
lipstick__bite_beauty__power_move_creamy_matte_lip_crayon__brandy,lipstick__bite_beauty__power_move_creamy_matte_lip_crayon__brandy.jpg,berry_plum,wine rose,color_coverage
lipstick__yves_saint_laurent__the_slim_velvet_radical_matte_lipstick__312_unconventional_nude,lipstick__yves_saint_laurent__the_slim_velvet_radical_matte_lipstick__312_unconventional_nude.jpg,berry_plum,berry brown,color_coverage
lipstick__clinique__pop_matte_lip_colour_primer__13_love_pop,lipstick__clinique__pop_matte_lip_colour_primer__13_love_pop.jpg,berry_plum,raspberry,color_coverage
lipstick__tom_ford__satin_matte_lip_color__lenfer,lipstick__tom_ford__satin_matte_lip_color__lenfer.jpg,berry_plum,berry red,color_coverage
lipstick__nars__powermatte_longlasting_lipstick__warm_leatherette_659,lipstick__nars__powermatte_longlasting_lipstick__warm_leatherette_659.jpg,berry_plum,berry pink,color_coverage
