img_name,color_group,cluster,strategy
lipstick__gerard_cosmetics__hydra_matte_liquid_lipstick__plum_crazy.jpg,no_color_info,24,style_discovery
lipstick__loreal__colour_riche_satin_lipstick__worth_it_601.jpg,pink_nude,24,style_discovery
lipstick__gerard_cosmetics__hydra_matte_liquid_lipstick__ballet_slipper.jpg,no_color_info,15,style_discovery
lipstick__gerard_cosmetics__hydra_matte_liquid_lipstick__cherry_bomb.jpg,no_color_info,15,style_discovery
lipstick__peripera__ink_the_velvet__01_good_brick.jpg,no_color_info,6,style_discovery
lipstick__peripera__ink_the_velvet__34_smoky_red.jpg,no_color_info,6,style_discovery
lipstick__revlon__colorstay_satin_ink_liquid_lipstick__black_cherry_022.jpg,no_color_info,3,style_discovery
lipstick__bobbi_brown__crushed_liquid_lipstick__west_coast_bae.jpg,brown,3,style_discovery
lipstick__pyt_beauty__double_duty_lipstick_gloss__peachy_cinammon.jpg,no_color_info,7,style_discovery
lipstick__nipfab__matte_liquid_lipstick__candy.jpg,no_color_info,7,style_discovery
lipstick__il_makiage__lip_slip__romance_matte.jpg,no_color_info,19,style_discovery
lipstick__il_makiage__lip_slip__hot_chilli.jpg,no_color_info,19,style_discovery
lipstick__colourpop__lippie_stix__brat_pack.jpg,pink_nude,5,style_discovery
lipstick__dior__addict_lip_glow_balm__028_minty_rose.jpg,no_color_info,5,style_discovery
lipstick__bodyography__lipstick__chelsea_girls.jpg,pink_nude,22,style_discovery
lipstick__ilia__color_block_lipstick__wild_aster.jpg,berry_plum,22,style_discovery
lipstick__dose_of_colors__liquid_matte_lipstick__nude_rose.jpg,pink_nude,0,style_discovery
lipstick__dior__addict_refillable_shine_lipstick__525_cherie.jpg,rose,0,style_discovery
lipstick__sephora_collection__rouge_lacquer_lipstick__38_me_first.jpg,berry_plum,20,style_discovery
lipstick__clinique__dramatically_different_lipstick_shaping_lip_colour__10_berry_freeze.jpg,no_color_info,20,style_discovery
lipstick__bodyography__fabric_texture_lipstick__silk.jpg,coral,10,style_discovery
lipstick__girlactik__long_lasting_matte_lip_paint_liquid_lipstick__playful.jpg,mauve,10,style_discovery
lipstick__loreal__infallible_matte_resistance_liquid_lipstick__600_first_kiss.jpg,rose,2,style_discovery
lipstick__loreal__infallible_matte_resistance_liquid_lipstick__630_rose_heat.jpg,coral,2,style_discovery
lipstick__cover_fx__monochromatic_lip_color__soft_peach.jpg,no_color_info,8,style_discovery
lipstick__sephora_collection__clean_liquid_lip_mousse__pine.jpg,peach,8,style_discovery
lipstick__make_up_for_ever__rouge_artist_lipstick__110_fearless_valentine.jpg,mauve,12,style_discovery
lipstick__make_up_for_ever__rouge_artist_lipstick__300_gorgeous_coral.jpg,coral,12,style_discovery
lipstick__the_lip_bar__matte_liquid_lipstick__rich_auntie.jpg,berry_plum,1,style_discovery
lipstick__yves_saint_laurent__tatouage_couture_liquid_matte_lip_stain__34_crimson_rivals.jpg,red,1,style_discovery
lipstick__covergirl__outlast_forever_velvet_pigment_matte_lipstick__600_lava.jpg,red,11,style_discovery
lipstick__too_faced__melted_matte_liquid_lipstick__granny_panties.jpg,mauve,11,style_discovery
lipstick__coloured_raine__secret_garden_matte_liquid_lipstick__make_a_wish.png,no_color_info,34,style_discovery
lipstick__julep__its_balm_creme_full_coverage_lip_crayon__18_burnt_sienna.jpg,orange,34,style_discovery
lipstick__lancome__labsolu_rouge_ruby_cream_lipstick__473_rubiez.jpg,red,25,style_discovery
lipstick__yves_saint_laurent__rouge_volupte_shine_lipstick_balm__09_nude_sheer.jpg,nude_beige,25,style_discovery
lipstick__givenchy__le_rouge_lipstick__333_linterdit.jpg,red,21,style_discovery
lipstick__dior__rouge_dior_refillable_lipstick__999_satin.jpg,red,21,style_discovery
lipstick__romnd__zero_matte_lipstick__07_envy_me.jpg,brown,16,style_discovery
lipstick__lawless__forget_the_filler_lipplumping_linesmoothing_tinted_lip_balm__lover.jpg,berry_plum,16,style_discovery
lipstick__suqqu__moisture_rich_lipstick__11_rinku.jpg,no_color_info,23,style_discovery
lipstick__yves_saint_laurent__rouge_pur_couture_caring_satin_lipstick_with_ceramides__1966_rouge_libre.jpg,red,23,style_discovery
lipstick__laura_mercier__velour_extreme_matte_lipstick__fatale.jpg,berry_plum,14,style_discovery
lipstick__il_makiage__rave__playa.jpg,no_color_info,14,style_discovery
lipstick__beauty_bakerie__matte_lip_whip__cinnamon_roll.jpg,brown,4,style_discovery
lipstick__vasanti_cosmetics__hyaluronic_boost_lip_plumper__tone_down.jpg,brown,4,style_discovery
lipstick__sephora_collection__rouge_lacquer_lipstick__09_love_wins.jpg,purple_fuchsia,18,style_discovery
lipstick__bodyography__lipstick__jane.jpg,peach,18,style_discovery
lipstick__undone_beauty__light_on_lip__chai_town.jpg,no_color_info,9,style_discovery
lipstick__smashbox__always_on_cream_to_matte_lipstick__self_worth_it.jpg,pink,9,style_discovery
lipstick__huda_beauty__lip_contour_lip_stain_for_12hour_wear__warm_brown.jpg,brown,13,style_discovery
lipstick__hourglass__confession_ultra_slim_high_intensity_refillable_lipstick__i_crave.jpg,red,13,style_discovery
lipstick__revlon__colorstay_ultimate_suede_lipstick__preview_070.jpg,purple_fuchsia,17,style_discovery
lipstick__lawless__forget_the_filler_lipplumping_linesmoothing_tinted_lip_balm__georgie.jpg,brown,17,style_discovery
