img_name,color_group,product_name,strategy
lipstick__ere_perez__coco_crayon__babe.jpg,pink,coco_crayon,rare_type_pencil
lipstick__revlon__colorstay_matte_lite_crayon__take_flight_004.jpg,no_color_info,colorstay_matte_lite_crayon,rare_type_pencil
lipstick__revlon__colorstay_matte_lite_crayon__souffle_all_day_003.jpg,no_color_info,colorstay_matte_lite_crayon,rare_type_pencil
lipstick__loreal__infallible_matte_lip_crayon_lasting_wear_smudge_resistant__brulee_everyday.jpg,no_color_info,infallible_matte_lip_crayon_lasting_wear_smudge_resistant,rare_type_pencil
lipstick__loreal__infallible_matte_lip_crayon_lasting_wear_smudge_resistant__caramel_blonde.jpg,no_color_info,infallible_matte_lip_crayon_lasting_wear_smudge_resistant,rare_type_pencil
lipstick__loreal__infallible_matte_lip_crayon_lasting_wear_smudge_resistant__lavender_honey.jpg,no_color_info,infallible_matte_lip_crayon_lasting_wear_smudge_resistant,rare_type_pencil
lipstick__nudestix__intense_matte_lip_cheek_pencil__belle.jpg,mauve,intense_matte_lip_cheek_pencil,rare_type_pencil
lipstick__nudestix__intense_matte_lip_cheek_pencil__entice.jpg,peach,intense_matte_lip_cheek_pencil,rare_type_pencil
lipstick__nudestix__intense_matte_lip_cheek_pencil__mystic.jpg,rose,intense_matte_lip_cheek_pencil,rare_type_pencil
lipstick__julep__its_balm_creme_full_coverage_lip_crayon__17_island_blossom.jpg,red,its_balm_creme_full_coverage_lip_crayon,rare_type_pencil
lipstick__julep__its_balm_creme_full_coverage_lip_crayon__11_black_cherry.jpg,berry_plum,its_balm_creme_full_coverage_lip_crayon,rare_type_pencil
lipstick__julep__its_balm_creme_full_coverage_lip_crayon__01_vintage_mauve.jpg,mauve,its_balm_creme_full_coverage_lip_crayon,rare_type_pencil
lipstick__julep__its_balm_creme_full_coverage_lip_crayon__09_cherry_wood_creme.jpg,berry_plum,its_balm_creme_full_coverage_lip_crayon,rare_type_pencil
lipstick__marc_jacobs_beauty__le_marc_liquid_lip_crayon__night_mauves.jpg,mauve,le_marc_liquid_lip_crayon,rare_type_pencil
lipstick__haus_labs_by_lady_gaga__le_monster_lip_crayon_vegan_lipstick_and_lip_liner__light_peony_matte.jpg,pink,le_monster_lip_crayon_vegan_lipstick_and_lip_liner,rare_type_pencil
lipstick__honest_beauty__lip_crayon_lush_sheer__blossom.jpg,no_color_info,lip_crayon_lush_sheer,rare_type_pencil
lipstick__ilia__lip_sketch_hydrating_lipstick_lip_liner_crayon__kiln.jpg,berry_plum,lip_sketch_hydrating_lipstick_lip_liner_crayon,rare_type_pencil
lipstick__ilia__lip_sketch_hydrating_lipstick_lip_liner_crayon__blue_note.jpg,berry_plum,lip_sketch_hydrating_lipstick_lip_liner_crayon,rare_type_pencil
lipstick__vasanti_cosmetics__matte_crush_lipstick_pencil__dozen_roses.png,berry_plum,matte_crush_lipstick_pencil,rare_type_pencil
lipstick__kylie_cosmetics__matte_lip_crayon__hits_different.jpg,nude_beige,matte_lip_crayon,rare_type_pencil
lipstick__trestique__matte_lip_crayon_balm__belize_bordeaux.jpg,berry_plum,matte_lip_crayon_balm,rare_type_pencil
lipstick__laura_mercier__petal_soft_lipstick_crayon__300_lea.jpg,brown,petal_soft_lipstick_crayon,rare_type_pencil
lipstick__laura_mercier__petal_soft_lipstick_crayon__301_augustine.jpg,coral,petal_soft_lipstick_crayon,rare_type_pencil
lipstick__laura_mercier__petal_soft_lipstick_crayon__341_simone.jpg,berry_plum,petal_soft_lipstick_crayon,rare_type_pencil
lipstick__juice_beauty__phytopigments_luminous_lip_crayon__12_malibu.jpg,pink_nude,phytopigments_luminous_lip_crayon,rare_type_pencil
lipstick__bite_beauty__power_move_creamy_matte_lip_crayon__red_velvet.jpg,red,power_move_creamy_matte_lip_crayon,rare_type_pencil
lipstick__bite_beauty__power_move_creamy_matte_lip_crayon__damson.jpg,berry_plum,power_move_creamy_matte_lip_crayon,rare_type_pencil
lipstick__trestique__prime_shine_lip_crayon__english_rose.jpg,rose,prime_shine_lip_crayon,rare_type_pencil
lipstick__morphe__shine_lip_crayon__mia.jpg,no_color_info,shine_lip_crayon,rare_type_pencil
lipstick__milani__stay_put_matte_lip_crayon__230_postgame.png,berry_plum,stay_put_matte_lip_crayon,rare_type_pencil
lipstick__milani__stay_put_matte_lip_crayon__210_off_the_wall.png,berry_plum,stay_put_matte_lip_crayon,rare_type_pencil
lipstick__maybelline__superstay_ink_crayon_lipstick__treat_yourself.jpg,no_color_info,superstay_ink_crayon_lipstick,rare_type_pencil
lipstick__maybelline__superstay_ink_crayon_lipstick__make_it_happen.jpg,berry_plum,superstay_ink_crayon_lipstick,rare_type_pencil
lipstick__maybelline__superstay_ink_crayon_lipstick__settle_for_more.jpg,berry_plum,superstay_ink_crayon_lipstick,rare_type_pencil
lipstick__maybelline__superstay_ink_crayon_lipstick__on_the_grind.jpg,purple_fuchsia,superstay_ink_crayon_lipstick,rare_type_pencil
lipstick__maybelline__superstay_ink_crayon_lipstick__enjoy_the_view.jpg,red,superstay_ink_crayon_lipstick,rare_type_pencil
lipstick__makeup_revolution__velvet_kiss_lip_crayon__vampire.jpg,red,velvet_kiss_lip_crayon,rare_type_pencil
lipstick__makeup_revolution__velvet_kiss_lip_crayon__tgif.jpg,brown,velvet_kiss_lip_crayon,rare_type_pencil
lipstick__ulta__velvet_matte_lip_crayon__volcano.jpg,pink,velvet_matte_lip_crayon,rare_type_pencil
lipstick__ulta__velvet_matte_lip_crayon__terrestrial.jpg,peach,velvet_matte_lip_crayon,rare_type_pencil
