img_name,img_path,pred_label,clf_confidence,seg_uncertainty
lipstick__bareminerals__gen_nude_matte_liquid_lipcolor__luxe.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__bareminerals__gen_nude_matte_liquid_lipcolor__luxe.jpg,liquid,0.998,0.3267
lipstick__bareminerals__gen_nude_matte_liquid_lipcolor__smooch.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__bareminerals__gen_nude_matte_liquid_lipcolor__smooch.jpg,closed,0.988,0.3084
lipstick__juice_beauty__phytopigments_liquid_lip__15_blythe.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__juice_beauty__phytopigments_liquid_lip__15_blythe.jpg,closed,0.957,0.308
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__182_light_brown.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__182_light_brown.jpg,closed,0.887,0.3072
lipstick__bareminerals__gen_nude_matte_liquid_lipcolor__infamous.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__bareminerals__gen_nude_matte_liquid_lipcolor__infamous.jpg,closed,0.989,0.3066
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__154_intense_caramel.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__154_intense_caramel.jpg,closed,0.924,0.3051
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__48_soft_rose.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__48_soft_rose.jpg,closed,0.92,0.304
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__184_intense_brown.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__184_intense_brown.jpg,closed,0.994,0.3013
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__47_daring_red.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__47_daring_red.jpg,closed,0.916,0.3012
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__180_passionate_red.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__180_passionate_red.jpg,closed,0.997,0.3001
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__397_merry_rose.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__397_merry_rose.jpg,closed,0.993,0.3
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__176_burning_red.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__176_burning_red.jpg,closed,0.997,0.2998
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__142_sweet_berry.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__142_sweet_berry.jpg,closed,0.908,0.2996
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__69_tender_beige.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__69_tender_beige.jpg,closed,0.994,0.2994
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__112_chic_rosewood.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__112_chic_rosewood.jpg,closed,0.993,0.2992
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__49_ever_red.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__49_ever_red.jpg,closed,0.997,0.2989
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__158_intense_blueberry.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__158_intense_blueberry.jpg,closed,0.997,0.2985
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__126_radiant_pink.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__126_radiant_pink.jpg,closed,0.995,0.298
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__54_strawberry_red.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__54_strawberry_red.jpg,closed,0.996,0.298
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__57_darling_pink.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__57_darling_pink.jpg,closed,0.996,0.2978
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__124_soft_candy.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__124_soft_candy.jpg,closed,0.995,0.2974
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__122_soft_coral.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__122_soft_coral.jpg,closed,0.996,0.2967
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__156_intense_rosewood.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample_closed/lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour__156_intense_rosewood.jpg,closed,0.995,0.296
