img_name,label,img_name_disk,true_L,true_a,true_b
lipstick__aboutface__paintit_matte_lip_color__night_sight.jpg,swatch,lipstick__aboutface__paintit_matte_lip_color__night_sight.jpg,2.67771784,-0.000170006861,0.000322248075
lipstick__anastasia_beverly_hills__liquid_lipstick__kathryn.jpg,swatch,lipstick__anastasia_beverly_hills__liquid_lipstick__kathryn.jpg,42.00885443,33.80154955,12.56796113
lipstick__anastasia_beverly_hills__liquid_lipstick__reqiuem.jpg,liquid_lipstick,lipstick__anastasia_beverly_hills__liquid_lipstick__reqiuem.jpg,27.46310084,-7.88228178,-13.00683742
lipstick__anastasia_beverly_hills__matte_lipstick__hollywood.jpg,bullet_lipstick,lipstick__anastasia_beverly_hills__matte_lipstick__hollywood.jpg,57.43948694,28.84985295,23.24168941
lipstick__anastasia_beverly_hills__matte_lipstick__hush_pink.jpg,swatch,lipstick__anastasia_beverly_hills__matte_lipstick__hush_pink.jpg,63.29601534,32.9255122,14.85995236
lipstick__antipodes__lipstick__boom_rock_bronze.jpg,swatch,lipstick__antipodes__lipstick__boom_rock_bronze.jpg,55.46589501,53.21805346,29.05565691
lipstick__armani_beauty__lip_maestro_liquid_matte_lipstick__209_palazzo.jpg,liquid_lipstick,lipstick__armani_beauty__lip_maestro_liquid_matte_lipstick__209_palazzo.jpg,28.09676713,35.59791869,24.71585117
lipstick__au_naturale__eternity_sheer_lipstick__frose.jpg,bullet_lipstick,lipstick__au_naturale__eternity_sheer_lipstick__frose.jpg,44.17659844,36.5241601,20.9675518
lipstick__bareminerals__gen_nude_matte_liquid_lipcolor__swag.jpg,other,lipstick__bareminerals__gen_nude_matte_liquid_lipcolor__swag.jpg,58.41921916,27.26361429,11.51752046
lipstick__bareminerals__mineralist_hydrasmoothing_lipstick__confidence.jpg,swatch,lipstick__bareminerals__mineralist_hydrasmoothing_lipstick__confidence.jpg,51.78111407,49.68522977,12.80210797
lipstick__bareminerals__mineralist_lasting_matte_liquid_lipstick__passionate.jpg,swatch,lipstick__bareminerals__mineralist_lasting_matte_liquid_lipstick__passionate.jpg,30.67990426,49.6091719,32.64469348
lipstick__beauty_bakerie__waffle_things_matte_lipstick__waffles_or_pancakes.jpg,swatch,lipstick__beauty_bakerie__waffle_things_matte_lipstick__waffles_or_pancakes.jpg,39.71056909,25.78156863,13.93957263
lipstick__beauty_pie__futurelipstick_matte__avalon.jpg,swatch,lipstick__beauty_pie__futurelipstick_matte__avalon.jpg,65.70142641,45.31481906,32.58935901
lipstick__bite_beauty__power_move_creamy_matte_lip_crayon__brandy.jpg,bullet_lipstick,lipstick__bite_beauty__power_move_creamy_matte_lip_crayon__brandy.jpg,35.45728429,27.81292667,10.3928718
lipstick__blkopl__cream_lipstick__bon_bon.jpg,swatch,lipstick__blkopl__cream_lipstick__bon_bon.jpg,22.59504074,12.55564043,8.66502105
lipstick__bobbi_brown__crushed_lip_color__blush.jpg,swatch,lipstick__bobbi_brown__crushed_lip_color__blush.jpg,66.27520645,27.14461091,16.19121995
lipstick__bobbi_brown__crushed_lip_color__brownie.jpg,swatch,lipstick__bobbi_brown__crushed_lip_color__brownie.jpg,51.2414683,28.73250329,13.33260149
lipstick__bobbi_brown__crushed_lip_color__italian_rose.jpg,swatch,lipstick__bobbi_brown__crushed_lip_color__italian_rose.jpg,49.52371469,34.09957444,20.27449603
lipstick__bobbi_brown__crushed_liquid_lipstick__juicy_date.jpg,liquid_lipstick,lipstick__bobbi_brown__crushed_liquid_lipstick__juicy_date.jpg,44.01695227,36.53400607,4.32830734
lipstick__bobbi_brown__crushed_liquid_lipstick__main_squeeze.jpg,liquid_lipstick,lipstick__bobbi_brown__crushed_liquid_lipstick__main_squeeze.jpg,40.36604464,58.8957205,27.51643143
lipstick__bobbi_brown__luxe_matte_lipstick__plum_noir.jpg,bullet_lipstick,lipstick__bobbi_brown__luxe_matte_lipstick__plum_noir.jpg,27.39990878,21.06937969,0.29336282
lipstick__bodyography__lipstick__glint.jpg,bullet_lipstick,lipstick__bodyography__lipstick__glint.jpg,56.81481088,12.91771196,37.88910515
