id,img_name,color_group,parent_color
lipstick__ctzn_cosmetics__code_red_lipstick__pula,lipstick__ctzn_cosmetics__code_red_lipstick__pula.jpg,berry_plum,plum crimson red
lipstick__nudestix__intense_matte_lip_cheek_pencil__vintage,lipstick__nudestix__intense_matte_lip_cheek_pencil__vintage.jpg,berry_plum,cranberry red
lipstick__nyx_professional_makeup__shout_loud_satin_lipstick__everyone_lies,lipstick__nyx_professional_makeup__shout_loud_satin_lipstick__everyone_lies.jpg,berry_plum,wine red
lipstick__queen_musia__skincare_supercharged_tinted_hydrabalm__noble_vine,lipstick__queen_musia__skincare_supercharged_tinted_hydrabalm__noble_vine.jpg,berry_plum,grape
lipstick__romnd__dewyful_water_tint__07_cherry_way,lipstick__romnd__dewyful_water_tint__07_cherry_way.jpg,berry_plum,cherry red
lipstick__revlon__super_lustrous_lipstick__812_porto_please,lipstick__revlon__super_lustrous_lipstick__812_porto_please.jpg,berry_plum,berry
lipstick__soshe_beauty__ceramide_refillable_lip_silk__wine_stained,lipstick__soshe_beauty__ceramide_refillable_lip_silk__wine_stained.png,berry_plum,cherry
lipstick__wonderskin__wonder_blading_peel_reveal_lip_stain_kit__divine,lipstick__wonderskin__wonder_blading_peel_reveal_lip_stain_kit__divine.jpg,berry_plum,burgundy red
lipstick__mac_cosmetics__macximal_silky_matte_lipstick__viva_empowered,lipstick__mac_cosmetics__macximal_silky_matte_lipstick__viva_empowered.jpg,berry_plum,brown plum
lipstick__clinique__pop_matte_lip_colour_primer__13_love_pop,lipstick__clinique__pop_matte_lip_colour_primer__13_love_pop.jpg,berry_plum,raspberry
lipstick__dear_dahlia__lip_paradise_sensual_lip_glow__g104_felicia,lipstick__dear_dahlia__lip_paradise_sensual_lip_glow__g104_felicia.png,berry_plum,rose fig
lipstick__fenty_beauty_by_rihanna__poutsicle_hydrating_lip_stain__berry_banger,lipstick__fenty_beauty_by_rihanna__poutsicle_hydrating_lip_stain__berry_banger.jpg,berry_plum,berry
lipstick__beauty_bakerie__waffle_things_matte_lipstick__waffles_or_pancakes,lipstick__beauty_bakerie__waffle_things_matte_lipstick__waffles_or_pancakes.jpg,berry_plum,burgundy brown
lipstick__lipstick_queen__lipdulgence_lip_mousse__sugar_plum,lipstick__lipstick_queen__lipdulgence_lip_mousse__sugar_plum.jpg,berry_plum,plum
lipstick__yves_saint_laurent__the_inks_vinyl_cream_high_shine_lip_stain__622_plum_liberation,lipstick__yves_saint_laurent__the_inks_vinyl_cream_high_shine_lip_stain__622_plum_liberation.jpg,berry_plum,plum pink
lipstick__bite_beauty__power_move_creamy_matte_lip_crayon__brandy,lipstick__bite_beauty__power_move_creamy_matte_lip_crayon__brandy.jpg,berry_plum,wine rose
lipstick__loreal__colour_riche_les_nus_intense_lipstick__nu_insouciant,lipstick__loreal__colour_riche_les_nus_intense_lipstick__nu_insouciant.jpg,berry_plum,pink plum
lipstick__dior__addict_lip_glow_balm__031_strawberry,lipstick__dior__addict_lip_glow_balm__031_strawberry.jpg,berry_plum,strawberry red
lipstick__bodyography__lipstick__opulent_red,lipstick__bodyography__lipstick__opulent_red.jpg,berry_plum,oxblood maroon
lipstick__pyt_beauty__double_duty_lipstick_gloss__deja_vu,lipstick__pyt_beauty__double_duty_lipstick_gloss__deja_vu.jpg,berry_plum,burgundy
lipstick__loreal__colour_riche_intense_volume_matte_lipstick__153_le_rosewood_ambition,lipstick__loreal__colour_riche_intense_volume_matte_lipstick__153_le_rosewood_ambition.jpg,berry_plum,plum
lipstick__melt_cosmetics__liquid_lipstick__death_cherry,lipstick__melt_cosmetics__liquid_lipstick__death_cherry.jpg,berry_plum,cherry red
lipstick__jones_road_beauty__the_lippie_stick__ruby,lipstick__jones_road_beauty__the_lippie_stick__ruby.jpg,berry_plum,red wine
lipstick__dear_dahlia__lip_paradise_sensual_lip_glow__g108_hazle,lipstick__dear_dahlia__lip_paradise_sensual_lip_glow__g108_hazle.png,berry_plum,fig beige
lipstick__anastasia_beverly_hills__liquid_lipstick__kathryn,lipstick__anastasia_beverly_hills__liquid_lipstick__kathryn.jpg,berry_plum,brown berry
lipstick__nars__afterglow_lip_balm__wicked_ways,lipstick__nars__afterglow_lip_balm__wicked_ways.jpg,berry_plum,mulberry
lipstick__makeup_by_mario__ultra_suede_lipstick__kristen,lipstick__makeup_by_mario__ultra_suede_lipstick__kristen.jpg,berry_plum,berry
lipstick__lime_crime__matte_velvetine_lipstick__beet_it,lipstick__lime_crime__matte_velvetine_lipstick__beet_it.jpg,berry_plum,berry pink
lipstick__nars__audacious_lipstick__vera,lipstick__nars__audacious_lipstick__vera.jpg,berry_plum,raspberry
