img_name,label
lipstick__aboutface__paintit_matte_lip_color__night_sight.jpg,swatch
lipstick__anastasia_beverly_hills__liquid_lipstick__kathryn.jpg,swatch
lipstick__anastasia_beverly_hills__liquid_lipstick__reqiuem.jpg,liquid
lipstick__anastasia_beverly_hills__matte_lipstick__hollywood.jpg,bullet
lipstick__anastasia_beverly_hills__matte_lipstick__hush_pink.jpg,swatch
lipstick__antipodes__lipstick__boom_rock_bronze.jpg,swatch
lipstick__armani_beauty__lip_maestro_liquid_matte_lipstick__209_palazzo.jpg,liquid
lipstick__au_naturale__eternity_sheer_lipstick__frose.jpg,bullet
lipstick__bareminerals__gen_nude_matte_liquid_lipcolor__swag.jpg,closed
lipstick__bareminerals__mineralist_hydrasmoothing_lipstick__confidence.jpg,swatch
lipstick__bareminerals__mineralist_lasting_matte_liquid_lipstick__passionate.jpg,swatch
lipstick__beauty_bakerie__waffle_things_matte_lipstick__waffles_or_pancakes.jpg,swatch
lipstick__beauty_pie__futurelipstick_matte__avalon.jpg,swatch
lipstick__bite_beauty__power_move_creamy_matte_lip_crayon__brandy.jpg,bullet
lipstick__blkopl__cream_lipstick__bon_bon.jpg,swatch
lipstick__bobbi_brown__crushed_lip_color__blush.jpg,swatch
lipstick__bobbi_brown__crushed_lip_color__brownie.jpg,swatch
lipstick__bobbi_brown__crushed_lip_color__italian_rose.jpg,swatch
lipstick__bobbi_brown__crushed_liquid_lipstick__juicy_date.jpg,liquid
lipstick__bobbi_brown__crushed_liquid_lipstick__main_squeeze.jpg,liquid
lipstick__bobbi_brown__luxe_matte_lipstick__plum_noir.jpg,bullet
lipstick__bodyography__lipstick__glint.jpg,bullet
lipstick__bodyography__lipstick__tolede.jpg,bullet
lipstick__buxom__full_force_plumping_lipstick__icon.jpg,swatch
lipstick__buxom__fullon_satin_lipstick__rose_bubbles.jpg,swatch
lipstick__byredo__lipstick__commuter.jpg,bullet
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour_qJ331Kj.jpg,closed
lipstick__chanel__le_rouge_duo_ultra_tenue_ultrawear_liquid_lip_colour_UnB3jAY.jpg,closed
lipstick__chanel__rouge_allure_laque_ultrawear_shine_liquid_lip_colour_awCuR9P.jpg,swatch
lipstick__chanel__rouge_allure_luminous_intense_lip_colour__211_subtile.jpg,swatch
lipstick__charlotte_tilbury__kissing_lipstick__red_carpet_pink.jpg,bullet
lipstick__charlotte_tilbury__limitless_lucky_lips__everlasting_blossom.jpg,bullet
lipstick__charlotte_tilbury__tinted_love__blushed_rose.jpg,swatch
lipstick__ciate_london__liquid_velvet_matte_liquid_lipstick__head_over_heels.jpg,liquid
lipstick__clinique__pop_matte_lip_colour_primer__13_love_pop.jpg,bullet
lipstick__code8_beauty__matte_velour_lipstick__lima.jpg,swatch
lipstick__colourpop__blur_lux_lipstick__still_crazy.jpg,swatch
lipstick__colourpop__fresh_kiss_hydrating_lip_creme__makeout.jpg,liquid
lipstick__colourpop__lippie_stix__brink.jpg,swatch
lipstick__colourpop__lippie_stix__skywalking.jpg,swatch
lipstick__colourpop__lippie_stix__topanga.jpg,bullet
lipstick__colourpop__lippie_stix__who_run_this.jpg,bullet
lipstick__colourpop__lux_liquid_lip__genie.jpg,liquid
lipstick__covergirl__outlast_forever_velvet_pigment_matte_lipstick__25_zh9Kim4.jpg,liquid
lipstick__covergirl__outlast_lipstain__05_all_star.jpg,bullet
lipstick__ctzn_cosmetics__code_red_lipstick__pula.jpg,swatch
lipstick__ctzn_cosmetics__nudiversal_lip_duo__capri.jpg,swatch
