filename,error
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bourjois__rouge_fabuleux__07_perlimpinpink.jpe,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bourjois__rouge_fabuleux__07_perlimpinpink.jpe'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__innisfree__my_lip_balm__10_ruby_grapefruit_tea.png,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__innisfree__my_lip_balm__10_ruby_grapefruit_tea.png'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bobbi_brown__luxe_lipstick__pale_mauve.jpg,image file is truncated (5 bytes not processed)
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__ciate_london__wonderwand_lipstick__dreamer.jpg,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__ciate_london__wonderwand_lipstick__dreamer.jpg'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__etude__ginger_sugar_melting_balm__01_fig_beige.jpg,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__etude__ginger_sugar_melting_balm__01_fig_beige.jpg'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__etude__ginger_sugar_melting_balm__05_rosy_berry.jpg,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__etude__ginger_sugar_melting_balm__05_rosy_berry.jpg'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__etude__jelly_pang_dear_darling_water_gel_tint__berry_banana_pink.jpg,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__etude__jelly_pang_dear_darling_water_gel_tint__berry_banana_pink.jpg'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bourjois__rouge_edition_velvet_liquid_lipstick__16_honey_mood.jpg,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bourjois__rouge_edition_velvet_liquid_lipstick__16_honey_mood.jpg'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__victorias_secret__velvet_matte_cream_lip_stain__love.jpg,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__victorias_secret__velvet_matte_cream_lip_stain__love.jpg'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__innisfree__my_lip_balm__06_mint_earl_grey.png,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__innisfree__my_lip_balm__06_mint_earl_grey.png'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__etude__dear_darling_water_gel_tint__01_tangerine_red.jpg,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__etude__dear_darling_water_gel_tint__01_tangerine_red.jpg'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bourjois__rouge_edition_velvet_liquid_lipstick__07_nudeist.jpg,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bourjois__rouge_edition_velvet_liquid_lipstick__07_nudeist.jpg'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__etude__whipping_fruity_dewy_tint__04_berry_soda.jpg,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__etude__whipping_fruity_dewy_tint__04_berry_soda.jpg'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bourjois__rouge_edition_velvet_liquid_lipstick__05_ole_flamingo.jpg,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bourjois__rouge_edition_velvet_liquid_lipstick__05_ole_flamingo.jpg'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bourjois__rouge_edition_velvet_liquid_lipstick__15_redvolution.jpg,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bourjois__rouge_edition_velvet_liquid_lipstick__15_redvolution.jpg'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__etude__color_lasting_glow_stick__06_twilight_mauve.jpg,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__etude__color_lasting_glow_stick__06_twilight_mauve.jpg'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bossy_cosmetics__bullet_lipstick__graceful.jpg,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bossy_cosmetics__bullet_lipstick__graceful.jpg'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bourjois__rouge_edition_velvet_liquid_lipstick__13_funchsia.jpg,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bourjois__rouge_edition_velvet_liquid_lipstick__13_funchsia.jpg'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bourjois__rouge_velvet_the_lipstick__05_briqueabrac.jpg,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bourjois__rouge_velvet_the_lipstick__05_briqueabrac.jpg'
