brand,product,shade,cielab
anastasia beverly hills,satin lipstick,peach amber,"[48.63861456931009, 38.502715358552486, 25.980072797990704]"
armani beauty,lip magnet liquid lipstick,503 glow,"[46.13037032002918, 46.42654858078982, 26.736386697987214]"
estée lauder,pure color hi-lustre lipstick,546 angel lips,"[72.36939725049862, 17.389590394966238, 6.059762058058871]"
i heart revolution,soft peach liquid lipstick,nectarine,"[68.44961380800277, 30.300328221085415, 28.836413314261478]"
nudestix,magnetic plush paint - lip cheek & eye color,sunset peach,"[53.14666649839522, 29.31856596494181, 35.40449832415572]"
soshe beauty,ceramide refillable lip silk,with love,"[26.994374479599642, 49.73266107429139, 39.921163969465404]"
vasanti cosmetics,matte crush lipstick pencil,peachy keen,"[46.77840199310278, 8.505414947272582, 4.872820374801656]"
victoria beckham beauty,bitten lip tint,amour,"[27.628845317677637, 50.46656925492149, 40.71761898004153]"
wayne goss,the luxury cream lipstick,dahlia,"[66.941926548845, 30.79511028611226, 27.302676869355835]"
armani beauty,lip maestro liquid matte lipstick,104 riolto,"[36.40175192271735, 40.29216306412262, 24.554653433813055]"
bareminerals,mineralist hydra-smoothing lipstick,focus,"[67.87177411138111, 8.07923536412808, 11.258784954055345]"
bodyography,lipstick,sorbet,"[47.20175160820955, 9.606917529597025, 4.007856286229328]"
buxom,dolly's glam getaway full-on satin lipstick,pink crush,"[58.86549752012594, 32.00719701850352, 0.32487523485635883]"
colour lit,liquid matte lipstick,stunner,"[52.812801933739664, 20.409270534075542, 12.791876537771874]"
fenty beauty by rihanna,slip shine sheer shiny lipstick,07 goji gang,"[76.11761545104255, 4.124969467273088, 5.590696393171979]"
fenty beauty by rihanna,stunna lip paint longwear fluid lip color,uncuffed,"[65.08596818222092, 25.929766197603954, 8.916761741447331]"
laura mercier,rouge essentiel silky cream lipstick,rose mauve,"[49.926106909278914, 5.567187930358763, 6.43729293659423]"
lime crime,plushies liquid lipstick,milk tea,"[73.62188276422944, 18.318860108289094, 1.0302652506434917]"
spela cosmetics,liquid lipstick,spa day,"[67.59757734528615, 32.00383674568036, 15.101746493239165]"
tarte,tarteist creamy matte lip paint,tbt,"[32.000743368123686, 7.016662554367476, 6.351302664860114]"
af94,lava lust lip stain,slip dress,"[73.13718091957101, 38.8341913614923, 18.07970114881321]"
becca cosmetics,ultimate lipstick love,dune,"[75.72767742712075, 8.97169676709736, 15.196018977612201]"
estée lauder,pure color crystal lipstick,564 crystal baby,"[74.53304896098321, 5.643785013498714, 14.718280915640936]"
i heart revolution,soft peach liquid lipstick,apricot,"[68.89889332287778, 31.968584024418657, 36.000332569892635]"
kaja,air heart lightweight natural finish lipstick,02 bbygirl,"[62.271084206304536, 30.913611967208652, 15.941203720484554]"
pat mcgrath labs,lip fetish sheer colour balm,passion flower,"[78.95127186919089, 17.49160251476689, 16.87450229894427]"
ciatè london,glitter flip,whisper,"[68.73105339933484, 7.662117226076126, 4.132370470967861]"
estée lauder,pure color matte lipstick,868 influential,"[71.81195527323922, 13.182576110617294, 3.0991798266319037]"
givenchy,le rose perfecto color lip balm,201 timeless pink,"[68.78001737223774, 4.4746256875113355, 1.2991968435722034]"
huda beauty,original liquid matte lipstick,spice girl,"[49.39216932533077, 8.03028079504875, 2.637796699953965]"
ilia,tinted lip conditioner,forever,"[65.00652788591333, 7.041787609550543, 4.183618590824745]"
kiko milano,you make me matte lipstick,love mauve,"[72.40089954551371, 11.562403629206075, 3.4576905276853864]"
kkw beauty,pink creme lipstick,pink 5,"[74.79059017340248, 11.828112037521265, 6.5329399154468115]"
lipstick queen,lipdulgence lip powder,mauve macaron,"[49.43009364397116, 7.136577163219416, 1.0236684441738086]"
milk makeup,lip color,low key,"[75.71260068674317, 6.721097691387845, 1.0023423039339674]"
too faced,melted matte liquid lipstick,granny panties,"[63.8137732123769, 3.2524300983981513, 8.526032286111507]"
dior,rouge ultra care liquid lipstick,539 petal,"[38.90657876465281, 26.84613538130609, 11.148562793657458]"
make up for ever,rouge artist lipstick,104 bold cinnamon,"[27.550095202438364, 2.503285770653868, 0.42270472939605064]"
anastasia beverly hills,liquid lipstick,poet,"[60.46248999851123, 8.59572449283591, -0.4309087446558779]"
armani beauty,lip maestro liquid matte lipstick,212 mistero,"[28.42939978319493, 21.393065152286617, 2.0859926688867936]"
bite beauty,power move creamy matte lip crayon,glace,"[40.49037755029846, 20.697638165002225, 6.861717455602367]"
blk/opl,liquid matte lipstick,chic mauve,"[47.71502959252429, 4.159324909027873, 0.07489494136465602]"
bobbi brown,crushed lip color,telluride,"[42.10820246974377, 8.183628795989994, 1.146133148601225]"
estée lauder,pure color matte lipstick,669 stolen heart,"[61.3589329359517, 19.791846599599594, 4.8333619463175825]"
jouer cosmetics,long-wear lip creme liquid lipstick,aubergine,"[41.515003095646875, 8.042579042791488, 0.09037730834180469]"
