category,joined,brand,product,shade,shade_description_original,parent_color,img_url
lipstick,anastasia beverly hills liquid lipstick kathryn,anastasia beverly hills,liquid lipstick,kathryn,"brown berry, matte finish",brown berry,https://media.ulta.com/i/ulta/2300406_sm?w=1080&h=1080&fmt=auto
lipstick,anastasia beverly hills liquid lipstick reqiuem,anastasia beverly hills,liquid lipstick,reqiuem,metallic blackened teal,teal,https://www.sephora.com/productimages/sku/s2036457-main-zoom.jpg?imwidth=1000
lipstick,anastasia beverly hills matte lipstick hollywood,anastasia beverly hills,matte lipstick,hollywood,pale peach,peach,"https://images.ulta.com/is/image/Ulta/2529286?id=7Pzam1&fmt=jpg&fit=constrain,1&wid=89&hei=359&op_sharpen=1&resMode=bilin"
lipstick,anastasia beverly hills matte lipstick hush pink,anastasia beverly hills,matte lipstick,hush pink,baby pink with a matte finish,pink,https://media.ulta.com/i/ulta/2604139_sm?w=1080&h=1080&fmt=auto
lipstick,antipodes lipstick boom rock bronze,antipodes,lipstick,boom rock bronze,warm medium brown,brown,https://static.thcdn.com/images/large/webp//productimg/1600/1600/11409272-1874991519307033.jpg
lipstick,armani beauty lip maestro liquid matte lipstick 209 palazzo,armani beauty,lip maestro liquid matte lipstick,209 palazzo,warm brown red,brown red,https://www.sephora.com/productimages/sku/s2379535-main-zoom.jpg?imwidth=1000
lipstick,bareminerals gen nude matte liquid lipcolor swag,bareminerals,gen nude matte liquid lipcolor,swag,blushing mauve,mauve,"https://images.ulta.com/is/image/Ulta/2303742?id=oR1a12&fmt=jpg&fit=constrain,1&wid=65&hei=357&op_sharpen=1&resMode=bilin"
lipstick,bareminerals mineralist lasting matte liquid lipstick passionate,bareminerals,mineralist lasting matte liquid lipstick,passionate,warm toned brick red,brick red,https://media.ulta.com/i/ulta/2599444_sm?w=1080&h=1080&fmt=auto
lipstick,beauty bakerie waffle things matte lipstick waffles or pancakes,beauty bakerie,waffle things matte lipstick,waffles or pancakes,burgundy-brown,burgundy brown,https://www.beautybakerie.com/cdn/shop/products/WaffleThingsSwatch-WafflesorPancakes-RedBrown.jpg?v=1683895507&width=1000
lipstick,beauty pie futurelipstick matte avalon,beauty pie,futurelipstick matte,avalon,warm toned peach,peach,"https://res.cloudinary.com/beautypie/image/upload/c_fill,w_1024/q_85/f_auto/v1/bynder-cf/CD2A7F03-518E-46AB-850146571CC65D42/ED141D32-4739-4BF1-9E13A3CF38EE819E/OTF%20BETA-futurelipstick_matte_avalon_refill_72290_CSL_texture_1_WEB.jpg?_a=DATAg1AAZAA0"
lipstick,becca cosmetics ultimate lipstick love taupe,becca cosmetics,ultimate lipstick love,taupe,neutral cinnamon,cinnamon,"https://images.ulta.com/is/image/Ulta/2539074?id=xGPaj0&fmt=jpg&fit=constrain,1&wid=180&hei=359&op_sharpen=1&resMode=bilin"
lipstick,bite beauty power move creamy matte lip crayon brandy,bite beauty,power move creamy matte lip crayon,brandy,deep wine rose,wine rose,https://media.kohlsimg.com/is/image/kohls/5075436_Brandy?wid=805&hei=805&op_sharpen=1
lipstick,bobbi brown crushed lip color blush,bobbi brown,crushed lip color,blush,"a cool blue toned, pale pink",blue pink,https://media.ulta.com/i/ulta/2583567_sm?w=1080&h=1080&fmt=auto
lipstick,bobbi brown crushed lip color brownie,bobbi brown,crushed lip color,brownie,mid-toned beige pink,beige pink,https://media.ulta.com/i/ulta/2583571_sm?w=1080&h=1080&fmt=auto
lipstick,bobbi brown crushed lip color italian rose,bobbi brown,crushed lip color,italian rose,warm brown rose,brown rose,https://media.ulta.com/i/ulta/2583572_sm?w=1080&h=1080&fmt=auto
lipstick,bobbi brown crushed liquid lipstick juicy date,bobbi brown,crushed liquid lipstick,juicy date,pinkish brown,pink brown,https://www.sephora.com/productimages/sku/s2182798-main-zoom.jpg?imwidth=1000
lipstick,bobbi brown crushed liquid lipstick main squeeze,bobbi brown,crushed liquid lipstick,main squeeze,bright red pink,red pink,https://www.sephora.com/productimages/sku/s2182772-main-zoom.jpg?imwidth=1000
lipstick,bobbi brown luxe matte lipstick plum noir,bobbi brown,luxe matte lipstick,plum noir,deep purple plum,purple plum,https://www.sephora.com/productimages/sku/s2088748-main-zoom.jpg?imwidth=1000
lipstick,bodyography lipstick glint,bodyography,lipstick,glint,warm metallic gold infused with sparkles,gold,"https://images.ulta.com/is/image/Ulta/2542440?id=QuNaZ0&fmt=jpg&fit=constrain,1&wid=176&hei=361&op_sharpen=1&resMode=bilin"
lipstick,bodyography lipstick opulent red,bodyography,lipstick,opulent red,satin finish-oxblood maroon,oxblood maroon,"https://images.ulta.com/is/image/Ulta/2546771?id=FXOaw3&fmt=jpg&fit=constrain,1&wid=86&hei=362&op_sharpen=1&resMode=bilin"
lipstick,bodyography lipstick tolede,bodyography,lipstick,tolede,satin finish-pink rose,pink rose,"https://images.ulta.com/is/image/Ulta/2546699?id=MldbZ0&fmt=jpg&fit=constrain,1&wid=86&hei=362&op_sharpen=1&resMode=bilin"
lipstick,bossy cosmetics bullet lipstick experienced,bossy cosmetics,bullet lipstick,experienced,delicate pink,pink,https://bossybeauty.com/cdn/shop/files/bossy-cosmetics-inc-experienced-makeup-41835526160686.png?v=1691172542&width=1206
lipstick,bossy cosmetics bullet lipstick graceful,bossy cosmetics,bullet lipstick,graceful,light pink,pink,https://bossybeauty.com/cdn/shop/files/bossy-cosmetics-inc-graceful-makeup-41023422103854.jpg?v=1691169315&width=1206
lipstick,buxom full force plumping lipstick icon,buxom,full force plumping lipstick,icon,nectar,nectar,https://buxomcosmetics.com/cdn/shop/files/IconTX.png?v=1696618516&width=375
lipstick,byredo lipstick commuter,byredo,lipstick,commuter,natural pink nude,pink nude,"https://images.bloomingdalesassets.com/is/image/BLM/products/1/optimized/13939011_fpx.tif?op_sharpen=1&wid=700&fit=fit,1&fmt=webp"
lipstick,chanel le rouge duo ultra tenue ultrawear liquid lip colour 112 chic rosewood,chanel,le rouge duo ultra tenue ultrawear liquid lip colour,112 chic rosewood,shimmery rosewood,rosewood,https://media.ulta.com/i/ulta/2532587?w=1080&h=1080&fmt=auto
lipstick,chanel le rouge duo ultra tenue ultrawear liquid lip colour 54 strawberry red,chanel,le rouge duo ultra tenue ultrawear liquid lip colour,54 strawberry red,soft red,red,https://media.ulta.com/i/ulta/2532511?w=1080&h=1080&fmt=auto
lipstick,chanel rouge allure laque ultrawear shine liquid lip colour 60 inflexible,chanel,rouge allure laque ultrawear shine liquid lip colour,60 inflexible,metallic bronze,bronze,https://cdn11.bigcommerce.com/s-mqq1i1xa2c/images/stencil/640w/products/115494/5311097/841661_60_INFLEXIBLE_5__25073.1700568582.jpg?c=1
lipstick,chanel rouge allure luminous intense lip colour 211 subtile,chanel,rouge allure luminous intense lip colour,211 subtile,reddish beige,red beige,https://media.ulta.com/i/ulta/2600329_sm?w=1080&h=1080&fmt=auto
lipstick,charlotte tilbury limitless lucky lips everlasting blossom,charlotte tilbury,limitless lucky lips,everlasting blossom,dusty rose,rose,https://images.ctfassets.net/wlke2cbybljx/56p09CnGsgT6DyVNXRRxIk/dfd40737412f4870288647c5eab6fe1e/Limitless-Lips-everlasting-blossom.png?w=660&h=660&fit=fill&fm=jpg&bg=
lipstick,charlotte tilbury tinted love blushed rose,charlotte tilbury,tinted love,blushed rose,pinky-rose,pink rose,https://images.ctfassets.net/wlke2cbybljx/7lqOwS6EFAXEpfAsINi19z/cc64f760995a14bec977ec1578a1dfd7/Blushed-Rose-Open-Tinted-Love-Swatch.png?w=1000&h=1000&fit=fill&fm=jpg&bg=
lipstick,code8 beauty matte velour lipstick lima,code8 beauty,matte velour lipstick,lima,mauve-nude,mauve nude,https://static.thcdn.com/productimg/960/960/15212857-1495125040289942.jpg
lipstick,colourpop blur lux lipstick still crazy,colourpop,blur lux lipstick,still crazy,mauve pink,mauve pink,https://colourpop.com/cdn/shop/products/Still-Crazy-Creme-Lux-Lipstick-swatch.jpg?v=1694556119&width=620
lipstick,colourpop fresh kiss hydrating lip creme makeout,colourpop,fresh kiss hydrating lip creme,makeout,soft peachy pink,peach pink,https://colourpop.com/cdn/shop/files/LipCreme-Makeout_n_1.jpg?v=1715125051&width=620
lipstick,colourpop lippie stix brink,colourpop,lippie stix,brink,matte terracotta rose,terracotta rose,https://media.ulta.com/i/ulta/2550435_sm?w=1080&h=1080&fmt=auto
lipstick,colourpop lippie stix skywalking,colourpop,lippie stix,skywalking,vibrant cool toned red,red,https://colourpop.com/cdn/shop/products/6896063381586-Skywalking-LippieStix-Skywalking_n-2.jpg?v=1668575648&width=620
lipstick,colourpop lippie stix topanga,colourpop,lippie stix,topanga,matte dusty coral,coral,https://target.scene7.com/is/image/Target/GUEST_e69abc37-f06a-4655-a525-42df74bbaf97?wid=1200&hei=1200&qlt=80&fmt=webp
lipstick,colourpop lippie stix who run this,colourpop,lippie stix,who run this,matte vibrant rusty red,red,https://colourpop.com/cdn/shop/products/6894137868370-Who-Run-This-LippieStix-WhoRunThis_n-1.jpg?v=1668574846&width=620
lipstick,colourpop lux liquid lip genie,colourpop,lux liquid lip,genie,warm pink,pink,https://colourpop.com/cdn/shop/files/Genie-Lux-Liquid-Lipstick-With-Cap.jpg?v=1689886417&width=620
lipstick,colourpop ultra blotted lip cypress chill,colourpop,ultra blotted lip,cypress chill,bricky rose,brick rose,"https://images.ulta.com/is/image/Ulta/2561647?id=DJPax0&fmt=jpg&fit=constrain,1&wid=55&hei=359&op_sharpen=1&resMode=bilin"
lipstick,covergirl outlast forever velvet pigment matte lipstick 250 velvet waves,covergirl,outlast forever velvet pigment matte lipstick,250 velvet waves,universal red,red,https://media.ulta.com/i/ulta/2635294?w=1080&h=1080&fmt=auto
lipstick,covergirl outlast lipstain 05 all star,covergirl,outlast lipstain,05 all star,dark red,red,https://media.ulta.com/i/ulta/2619919?w=1080&h=1080&fmt=auto
lipstick,ctzn cosmetics code red lipstick pula,ctzn cosmetics,code red lipstick,pula,crimson red with plum undertones,plum crimson red,https://m.media-amazon.com/images/I/61pMXZAxVVL._SX679_.jpg
lipstick,ctzn cosmetics nudiversal lip duo capri,ctzn cosmetics,nudiversal lip duo,capri,warm pink with a peach undertone,peach pink,https://m.media-amazon.com/images/I/51uwmUNE3wL._SX679_.jpg
lipstick,dear dahlia lip paradise sensual lip glow g104 felicia,dear dahlia,lip paradise sensual lip glow,g104 felicia,soft rosy fig,rose fig,https://deardahlia.com/cdn/shop/files/texture_FELICIA.png?v=1708324642&width=1500
lipstick,dear dahlia lip paradise sensual lip glow g105 isabelle,dear dahlia,lip paradise sensual lip glow,g105 isabelle,baby rose,rose,https://deardahlia.com/cdn/shop/files/texture_ISABELLE.png?v=1708324642&width=1500
lipstick,dear dahlia lip paradise sensual lip glow g108 hazle,dear dahlia,lip paradise sensual lip glow,g108 hazle,fig beige,fig beige,https://deardahlia.com/cdn/shop/files/texture_HAZLE.png?v=1708324642&width=1500
lipstick,dior addict lip glow balm 031 strawberry,dior,addict lip glow balm,031 strawberry,strawberry red cool undertone,strawberry red,https://www.sephora.com/productimages/sku/s2830545-main-zoom.jpg?imwidth=1224
lipstick,dior addict lip glow butter 103 toffee,dior,addict lip glow butter,103 toffee,a nude beige,nude beige,https://media.ulta.com/i/ulta/2639605_sm?w=1080&h=1080&fmt=auto
lipstick,dior rouge ultra care liquid lipstick 855 sensual,dior,rouge ultra care liquid lipstick,855 sensual,scarlet red satin,scarlet red,https://www.sephora.com/productimages/sku/s2244242-main-zoom.jpg?imwidth=1000
